x,y,GRID,GID,Lon,Lat
-120.2916683,46.54166678,2456,I02456,-120.292,46.542
-120.208335,36.54166718,2480,I02480,-120.208,36.542
-120.208335,36.62500051,2481,I02481,-120.208,36.625
-120.208335,36.70833384,2482,I02482,-120.208,36.708
-120.208335,36.79166717,2483,I02483,-120.208,36.792
-120.208335,36.8750005,2484,I02484,-120.208,36.875
-120.208335,36.95833383,2485,I02485,-120.208,36.958
-120.208335,37.04166716,2486,I02486,-120.208,37.042
-120.208335,37.20833382,2488,I02488,-120.208,37.208
-120.208335,46.20833346,2532,I02532,-120.208,46.208
-120.208335,46.29166679,2533,I02533,-120.208,46.292
-120.208335,46.37500012,2534,I02534,-120.208,46.375
-120.208335,46.45833345,2535,I02535,-120.208,46.458
-120.1250017,36.29166719,2560,I02560,-120.125,36.292
-120.1250017,36.45833385,2562,I02562,-120.125,36.458
-120.1250017,36.54166718,2563,I02563,-120.125,36.542
-120.1250017,36.62500051,2564,I02564,-120.125,36.625
-120.1250017,36.70833384,2565,I02565,-120.125,36.708
-120.1250017,36.79166717,2566,I02566,-120.125,36.792
-120.1250017,36.8750005,2567,I02567,-120.125,36.875
-120.1250017,36.95833383,2568,I02568,-120.125,36.958
-120.1250017,37.04166716,2569,I02569,-120.125,37.042
-120.1250017,46.12500013,2608,I02608,-120.125,46.125
-120.1250017,46.20833346,2609,I02609,-120.125,46.208
-120.1250017,46.29166679,2610,I02610,-120.125,46.292
-120.1250017,46.37500012,2611,I02611,-120.125,46.375
-120.0416684,36.20833386,2640,I02640,-120.042,36.208
-120.0416684,36.29166719,2641,I02641,-120.042,36.292
-120.0416684,36.37500052,2642,I02642,-120.042,36.375
-120.0416684,36.45833385,2643,I02643,-120.042,36.458
-120.0416684,36.54166718,2644,I02644,-120.042,36.542
-120.0416684,36.62500051,2645,I02645,-120.042,36.625
-120.0416684,36.70833384,2646,I02646,-120.042,36.708
-120.0416684,36.79166717,2647,I02647,-120.042,36.792
-120.0416684,36.8750005,2648,I02648,-120.042,36.875
-120.0416684,36.95833383,2649,I02649,-120.042,36.958
-120.0416684,45.37500016,2682,I02682,-120.042,45.375
-120.0416684,45.45833349,2683,I02683,-120.042,45.458
-120.0416684,45.70833348,2686,I02686,-120.042,45.708
-120.0416684,45.79166681,2687,I02687,-120.042,45.792
-120.0416684,45.87500014,2688,I02688,-120.042,45.875
-120.0416684,46.12500013,2691,I02691,-120.042,46.125
-120.0416684,46.20833346,2692,I02692,-120.042,46.208
-120.0416684,46.29166679,2693,I02693,-120.042,46.292
-120.0416684,46.37500012,2694,I02694,-120.042,46.375
-120.0416684,47.04166676,2697,I02697,-120.042,47.042
