p_QNLEACHgl,gridID,1 Irrigated,2 Rainfed
670 I03366,I03366,10.46,-10.65
671 I03367,I03367,14.76,-15.4
672 I03368,I03368,-5.87,-14.5
673 I03369,I03369,1.61,-15.43
674 I03370,I03370,11.79,-15.85
675 I03371,I03371,1.81,-15.54
676 I03372,I03372,-4.02,-2.55
677 I03373,I03373,-2.99,-9.62
678 I03374,I03374,5.4,-4.08
679 I03375,I03375,2.02,-14.47
680 I03398,I03398,-4.01,-2.32
681 I03399,I03399,-13.09,-2.02
682 I03400,I03400,3.41,-2.63
683 I03401,I03401,-15.68,-2.34
684 I03402,I03402,-5.35,-2.64
685 I03404,I03404,2.93,-3.23
686 I03405,I03405,0.22,-2.91
687 I03406,I03406,0.91,-2.86
688 I03407,I03407,-6.1,-2.6
689 I03408,I03408,-4.89,-2.6
690 I03409,I03409,-5.18,-2.85
691 I03410,I03410,-3.97,-45.01
692 I03411,I03411,1.49,-2.4
693 I03412,I03412,1.29,-2.09
694 I03413,I03413,10.41,-45.76
695 I03414,I03414,-10.01,-3.51
696 I03415,I03415,1.72,-4.1
697 I03416,I03416,2.88,-1.54
698 I03417,I03417,8.68,-1.9
699 I03418,I03418,8.17,-5.19
700 I03438,I03438,5.69,-15.52
701 I03439,I03439,9.68,-7.6
702 I03440,I03440,7.1,-11.23
703 I03442,I03442,7.24,-8.9
704 I03445,I03445,8.19,-9.01
705 I03447,I03447,-6.23,-14.54
706 I03448,I03448,1.66,-8.81
707 I03449,I03449,4.01,-16.16
708 I03450,I03450,11.42,-16.26
709 I03451,I03451,10.1,-25.05
710 I03452,I03452,-3.27,-2.04
711 I03453,I03453,-3.67,-8.09
712 I03454,I03454,2.01,-15.72
713 I03459,I03459,7.27,-3.6
714 I03460,I03460,9.11,-13.55
715 I03462,I03462,5.81,-12.09
716 I03480,I03480,-11.55,-1.33
717 I03481,I03481,-15.11,-2
718 I03482,I03482,-5.56,-4.04
